00000970467;MEX016227;;259316;ayX8W04LQQ;ayX8W 04E Oxx tI OS xb;;MQA;;;;;;;;21379572;556787;;MEX016227;;;;;;;;;;
00000975767;MEX021702;;493332;iUWZU1BE;iUWZU1BE O9 FJ Kk;;5SG;;;;;;;;B6702932;612689;;MEX021702;;;;;;;;;;
00000957013;MEX002220;;299991;iX7Z7T06IH;iX7Z7T 06IHPNqmlRtfZn yh bX WG;;5TC;;;;;;;;92731888;416917;;MEX002220;;;;;;;;;;
00000970976;MEX016755;;284799;1fzzC5IAKK;1fzzC5I AKKFNvR kRhl nj i4;;NVN;;;;;;;;C2133607;;;;;;;;;;;;;
00000967851;MEX013545;;190079;ecAZB09HJM;ecAZB0 9HJMC;;G4A;;;;;;;;71177081;529859;;MEX013545;;;;;;;;;;
00000967852;MEX013547;;190098;iW VV5T3HO;iW VV5T3HO RC IM Nh;;MEX;;;;;;;;72906368;529875;;MEX013547;BANXICO;Reporting Delegation Model;01;;;;;;;
;000001846;;162763;hf1V6CZ105;hf1XW 04 7IOxJqLk oscen tjkf;;MEX;;;;;;;;;;;000001846;;;;;;;;;;
00000967279;MEX012957;;172578;T22Xy0E4N9;T22XyF06KQC IM rPiw bqYc ea ZD;;MEX;;;;;;;;B6401632;524223;;MEX012957;BANXICO;Reporting Delegation Model;01;;;;;;;
00000955156;MX05156;;62725;iZ55912N6Q;iZ55912N6QKF wLlgKt Yn hd cA;;HJX;;;NON FINANCIAL;;;;;21391185;948992;;MX05156;BANXICO;Reporting Delegation Model;01;;;;;;;
00000955303;MEX000286;;64092;i575UTH 56;i575UTH 56MErv, nO ws rQ;;5TL;;;NON FINANCIAL;;;;;17956176;400457;;MEX000286;;;;;;;;;;
00000953264;MX03264;;62385;iZ55912N6Q;iZ55912N6QKF Mu Oeofd, VV0 bX 96;;TEW;;;NON FINANCIAL;;;;;17059733;931840;;MX03264;;;;;;;;;;
00000954175;MX04175;;62414;ia28y 5DOA;0XYU8E4 BJwGuKLn Swbilk ea 4U8G9IKHv sJ Px wa;;0YJ;;;NON FINANCIAL;;;;olgaqdnXk0DKjnQimVsx;78414987;939918;2024-10-28;MX04175;BANXICO;Reporting Delegation Model;01;;;;;;;
00000951651;MX01651;;62417;ia28y 5D4Q;aybBBF0 LEDHxrP PRelon pm jc AV 15 6S;;MEX;;;NON FINANCIAL;;;;olgaqdnXk0DvxFOLstvq;64417065;921619;2022-07-23;MX01651;BANXICO;Reporting Delegation Model;01;;;;;;;
00000953779;MX03779;;62522;ic0z75IMN9;ic0z75IMN9FxrL qvZlonXh bX z3DF7O7Pw, pM Su tX;;MEX;;;NON FINANCIAL;;;;;12943280;936765;;MX03779;;;;;;;;;;
00000047475;6ACX5RL;;62590;idYzD1I 6A;idYzD1I 6A OCQwL, kR tp oy;;MEX;;;NON FINANCIAL;;;;;26227028;910414;;6ACX5RL;;;;;;;;;;
00000955179;MX05179;;62847;gbzB5BI3 w;gbzB5BI3 w BQurlwRtfY kg 1026Cy, J4 AH Fp;;G9X;;;NON FINANCIAL;;;;;17211113;949206;;MX05179;;;;;;;;;;
00000966468;MEX012121;;154076;0b5C2HDH O;0b5C2HDH O9 FJ Kk;;MEX;;;;;;;;05074975;516088;;MEX012121;;;;;;;;;;
00000973064;MEX018938;;429950;X5U96TB3C9;X5U9 6THMEMGm xLhrj V knTfWb 3VG3OOLLx;;MEX;;;;;;;;11458503;582361;;MEX018938;;;;;;;;;;
00000977711;MEX023695;;549691;050ZUBHMAB;050ZUBHMAB wF LP Qe;;0YM;;;;;;;;C8049537;630822;;MEX023695;;;;;;;;;;
00000971466;MEX017265;;302833;0b5AyEJNxO;0b5C2z8HO t vJrtumwimV hd 59FAyE M7 IH Im;;MEX;;;;;;;qkiaqd6Pw6EPmKexvpRo;C1615109;568113;2024-04-27;MEX017265;BANXICO;Reporting Delegation Model;01;RESTRICCION POR FALTA DE CARTAS DE CONFIRMACION|RESTRICCION POR RIESGOS;DERIVADOS|DERIVADOS;2023-11-10|2023-11-10;;;;
00000971151;MEX016940;;291273;b5Y8386;b5Y8DTI CHF w IM ql ws cf kg f7;;HBH;;;;;;;;B7546491;563460;;MEX016940;;;;;;;;;;
00000955863;MEX001011;;69725;T22FyzJHO;T22FyzJHO BQSqmlfosfjy, 1e YU TJ;;5GT;;;NON FINANCIAL;;;;;87384266;405670;;MEX001011;BANXICO;Reporting Delegation Model;01;;;;;;;
00000950017;MX00017;;66632;idazFTBFAu;idazFTBFAu RFpouniginZ, 1e YU TJ JCOv;;MEX;;;NON FINANCIAL;;;;;22174032;922427;;MX00017;;;;;;;;;;
00000150885;9SHZMEX;;68333;0zazy006 D;0zazy006 DHRxpPQRflq igea6Y6 397BDFwvwjk rghUV1 aW V0GL 6SSu;;MEX;;;NON FINANCIAL;;;;;;;;9SHZMEX;;;;;;;;;;
00000150885;E9SHZMEX;;68333;0zazy006 D;0zazy006 DHRxpPQRflq igea6Y6 397BDFwvwjk rghUV1 aW V0GL 6SSu;;MEX;;;NON FINANCIAL;;;;;;;;9SHZMEX;;;;;;;;;;
00000955787;MEX000929;;68927;Wf5A2A 37;Wf5A2A 37 H9 vxroS ulfZjy;;G59;;;NON FINANCIAL;;;;;18370589;404905;;MEX000929;BANXICO;Reporting Delegation Model;01;;;;;;;
00000974216;MEX018252;;368254;WX0VDTBINN;WX 0VDTB INNEJqnumq hm0cfe2Y Dy 48 9v;;5SQ;;;;;;;;A0899484;575977;;MEX018252;;;;;;;;;;
00000976244;MEX022201;;504580;hUY9C13BIO;hUY9C13 BIOQup nO ws rQ;;MQA;;;;;;;;D3277074;617548;;MEX022201;;;;;;;;;;
00000951625;MX01625;;58848;W5YY51I 6;W5YY51I 6 I9w, tI OS xb;;MTE;;;NON FINANCIAL;;;;;02166186;917872;;MX01625;BANXICO;Reporting Delegation Model;01;;;;;;;
00000047752;6XYG5TC;;58741;W8 5zEF0 B;W8 5zEF0 BE RC IM Nh;;1AN;;;NON FINANCIAL;;;;;10471294;901082;;6XYG5TC;;;;;;;;;;
00000952780;MX02780;;59025;WbWZ WH3BK;WbWZ WH3BK, RC IM Nh;;MEX;;;NON FINANCIAL;;;;;18566821;927467;;MX02780;BANXICO;Reporting Delegation Model;01;RESTRICCION POR FALTA DE CARTAS DE CONFIRMACION;DERIVADOS;2023-11-10;;;;
00000951802;MX01802;;59335;Xf0z7T 0E6;Xf0z7T 0E6LDuM h nowrq, Vk;;MTE;;;NON FINANCIAL;;;;;10274857;919126;;MX01802;BANXICO;Reporting Delegation Model;01;;;;;;;
00000954705;MX04705;;60303;dz1W8 5DMA;dz1W8 5DMAQCHKxomsb s, Vk ea ZD D6IP;;MEX;;;NON FINANCIAL;;;;;87728698;;;MX04705;;;;;;;;;;
00000952607;MX02607;;60388;e555 7HJ78;e555 7HJ78 OxJwxf hw qm l1;;G30;;;NON FINANCIAL;;;;;22901920;926048;;MX02607;;;;;;;;;;
00000150776;9GXDMEX;;60847;gz568E0MEw;gz568E0MEwC (GoN);;MEX;;;NON FINANCIAL;;;;;;;;9GXDMEX;;;;;;;;;;
00000953564;MX03564;;59212;X5b82z0GPD;X5b82z0GPDw n NxrgffY, Vk ea ZD;;MEX;;;NON FINANCIAL;;;;;17561617;934703;;MX03564;BANXICO;Reporting Delegation Model;01;;;;;;;
00000950157;MX00157;;58977;Wb72224 FA;Wb72224 FAuKHu nO ws rQ;;MEX;;;NON FINANCIAL;;;;549300XV1E0PIQ4WCH89;48424294;467332;;MX00157;BANXICO;Reporting Delegation Model;01;;;;;;;
00000954213;MX04213;;59789;bz7V5 EER6;bz7V5 EER6K RQIhOxwc, Yn hd cA;;1AN;;;NON FINANCIAL;;;;;82896516;940148;;MX04213;;;;;;;;;;
